record_id,timestamp_utc,local_delta,validation_status,should_submit
experiment_00001,2026-04-27T22:06:13Z,,failed,False
experiment_00002,2026-04-27T22:06:45Z,,passed,True
experiment_00003,2026-04-27T22:19:17Z,,passed,True
experiment_00004,2026-04-28T00:19:48Z,,passed,True
experiment_00005,2026-04-28T00:21:50Z,,passed,True
experiment_00006,2026-04-28T00:23:49Z,,passed,True
experiment_00007,2026-04-28T00:25:51Z,,passed,True
experiment_00008,2026-04-28T00:37:25Z,,passed,True
experiment_00009,2026-04-28T00:38:04Z,,,
experiment_00010,2026-04-28T01:09:22Z,,passed,True
experiment_00011,2026-04-28T01:11:21Z,,passed,True
experiment_00012,2026-04-28T01:16:01Z,,passed,True
experiment_00013,2026-04-28T01:36:41Z,,passed,True
experiment_00014,2026-04-28T01:42:36Z,,passed,True
experiment_00015,2026-04-28T01:53:13Z,,passed,True
experiment_00016,2026-04-28T01:58:49Z,,passed,True
experiment_00017,2026-04-28T02:04:28Z,,passed,True
experiment_00018,2026-04-28T02:18:02Z,,failed,False
experiment_00019,2026-04-28T02:20:01Z,,passed,True
experiment_00020,2026-04-28T02:28:06Z,,failed,False
experiment_00021,2026-04-28T02:30:04Z,,failed,False
experiment_00022,2026-04-28T02:38:15Z,,failed,False
experiment_00023,2026-04-28T02:40:10Z,,passed,True
experiment_00024,2026-04-28T02:44:44Z,,failed,False
experiment_00025,2026-04-28T02:46:40Z,,failed,False
experiment_00026,2026-04-28T02:48:34Z,,failed,False
experiment_00027,2026-04-28T02:50:33Z,,passed,True
experiment_00028,2026-04-28T02:55:09Z,,failed,False
experiment_00029,2026-04-28T02:59:47Z,,failed,False
experiment_00030,2026-04-28T03:03:38Z,,passed,True
experiment_00031,2026-04-28T03:11:53Z,,failed,False
experiment_00032,2026-04-28T03:13:48Z,,failed,False
experiment_00033,2026-04-28T03:17:49Z,,passed,True
experiment_00034,2026-04-28T03:22:58Z,,failed,False
experiment_00035,2026-04-28T03:24:53Z,,passed,True
experiment_00036,2026-04-28T03:30:27Z,,passed,True
experiment_00037,2026-04-28T03:36:05Z,,passed,True
experiment_00038,2026-04-28T03:42:44Z,,passed,True
experiment_00039,2026-04-28T03:48:20Z,,passed,True
experiment_00040,2026-04-28T03:53:57Z,,passed,True
experiment_00041,2026-04-28T04:04:55Z,,passed,True
experiment_00042,2026-04-28T04:11:31Z,,passed,True
experiment_00043,2026-04-28T04:17:38Z,,passed,True
experiment_00044,2026-04-28T04:24:13Z,,passed,True
experiment_00045,2026-04-28T04:30:49Z,,passed,True
experiment_00046,2026-04-28T04:36:53Z,,passed,True
experiment_00047,2026-04-28T04:43:29Z,,passed,True
experiment_00048,2026-04-28T04:50:05Z,,passed,True
experiment_00049,2026-04-28T04:56:42Z,,passed,True
experiment_00050,2026-04-28T05:03:20Z,,passed,True
experiment_00051,2026-04-28T05:09:56Z,,passed,True
experiment_00052,2026-04-28T05:16:30Z,,passed,True
experiment_00053,2026-04-28T05:22:01Z,,passed,True
experiment_00054,2026-04-28T05:28:36Z,,passed,True
experiment_00055,2026-04-28T05:35:10Z,,passed,True
experiment_00056,2026-04-28T05:41:43Z,,passed,True
experiment_00057,2026-04-28T14:24:33Z,,passed,True
experiment_00058,2026-04-28T14:31:08Z,,passed,True
experiment_00059,2026-04-28T14:37:43Z,,passed,True
experiment_00060,2026-04-28T14:40:40Z,,passed,True
experiment_00061,2026-04-28T14:46:22Z,,passed,True
experiment_00062,2026-04-28T14:52:18Z,,passed,True
experiment_00063,2026-04-28T14:58:18Z,,passed,True
experiment_00064,2026-04-28T15:19:47Z,,passed,True
experiment_00065,2026-04-28T15:34:43Z,,passed,True
experiment_00066,2026-04-28T15:40:42Z,,passed,True
experiment_00067,2026-04-28T15:47:29Z,,passed,True
experiment_00068,2026-04-28T15:52:36Z,,passed,True
experiment_00069,2026-04-28T15:58:51Z,,passed,True
experiment_00070,2026-04-28T16:11:48Z,,passed,True
experiment_00071,2026-04-28T16:18:01Z,,passed,True
experiment_00072,2026-04-28T16:20:33Z,,passed,True
experiment_00073,2026-04-28T16:29:04Z,,passed,True
experiment_00074,2026-04-28T16:35:19Z,,passed,True
experiment_00075,2026-04-28T16:44:49Z,,passed,True
experiment_00076,2026-04-28T16:49:54Z,,passed,True
experiment_00077,2026-04-28T16:55:55Z,,passed,True
experiment_00078,2026-04-28T17:01:51Z,,failed,False
experiment_00079,2026-04-28T17:04:06Z,,passed,True
experiment_00080,2026-04-28T17:17:15Z,,failed,False
experiment_00081,2026-04-28T17:20:09Z,,passed,True
